,1,2,3,4,5,6,7,8
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,0
2,1,0,0,0,0,0,1,1
3,2,1,0,1,1,1,1,2
4,3,1,0,1,1,1,2,2
5,3,1,1,1,2,1,3,2
6,2,2,2,2,3,2,3,3
7,3,3,2,3,4,3,4,3
8,2,2,3,2,3,2,4,2
9,1,3,3,3,3,3,3,3
10,2,4,2,4,3,4,2,4
11,3,3,1,3,3,3,2,3
12,2,3,2,3,2,3,2,3
13,3,4,2,4,2,3,2,3
14,4,3,2,3,3,3,2,3
15,3,3,2,2,2,2,3,2
16,2,4,3,3,1,3,2,3
17,3,3,2,2,2,2,1,2
18,2,3,1,2,2,3,2,3
19,2,4,2,3,1,3,3,3
20,3,3,2,3,2,3,2,3
21,3,3,2,3,2,3,3,3
22,3,3,3,3,1,3,3,3
23,3,3,3,3,2,3,2,3
24,3,2,3,2,3,2,2,2
25,2,3,3,3,2,3,3,3
26,3,2,3,2,2,2,2,2
27,2,3,2,3,3,3,3,3
28,3,3,2,3,2,3,4,3
29,3,3,2,3,2,3,3,3
30,3,3,2,3,3,3,3,3
31,3,3,2,3,3,3,3,4
32,3,2,3,2,2,2,3,3
33,2,2,3,2,3,2,2,2
34,2,3,2,3,2,3,3,3
35,3,2,3,2,2,2,2,2
36,2,3,2,3,3,3,3,2
37,3,4,2,4,3,3,2,2
38,3,3,3,3,3,2,2,2
39,2,3,3,3,3,2,2,2
40,2,3,2,3,3,3,2,2
41,2,3,3,3,2,3,2,2
42,2,2,3,2,3,3,2,3
43,2,2,2,2,2,3,3,3
44,2,1,3,2,3,2,2,3
45,2,1,3,2,3,2,2,4
46,3,1,3,2,3,2,2,3
47,3,2,3,3,3,2,2,2
48,3,3,3,3,3,3,2,2
49,4,3,3,2,2,3,3,2
50,3,3,3,2,1,2,3,1
51,3,3,2,2,2,1,3,2
52,2,3,1,2,1,2,4,2
53,3,2,2,2,2,2,3,3
54,3,3,1,3,2,2,3,2
55,3,3,2,3,2,2,3,2
56,2,2,3,3,2,2,2,1
57,2,2,3,3,3,2,2,2
58,2,2,3,3,2,1,2,1
59,1,2,3,3,2,2,2,2
60,2,2,3,3,2,2,2,2
61,2,2,2,2,2,2,2,2
62,2,1,2,1,1,1,2,2
63,1,2,2,2,2,2,3,3
64,2,2,2,2,2,2,3,3
65,2,2,2,2,2,2,4,3
66,2,2,2,2,1,2,5,3
67,2,3,3,3,1,3,4,3
68,3,2,2,3,1,3,3,3
69,3,1,3,2,1,2,3,2
70,2,1,3,2,2,2,2,2
71,2,2,3,3,2,3,2,3
72,3,1,3,2,3,2,2,2
73,2,1,3,1,2,1,2,1
74,1,1,2,1,3,2,1,2
75,1,1,1,1,2,2,2,2
76,2,1,2,1,3,2,1,2
77,2,1,1,1,2,3,2,2
78,2,2,2,2,2,3,2,2
79,2,3,2,3,1,3,2,2
80,3,3,2,3,2,3,1,2
81,2,2,1,2,1,2,2,1
82,1,2,2,2,1,1,2,1
83,1,2,2,2,1,2,2,2
84,2,2,2,2,2,2,2,2
85,2,2,2,2,2,2,3,2
86,2,3,3,2,2,2,3,3
87,3,4,3,3,2,3,2,4
88,4,4,2,3,3,3,2,4
89,4,3,2,2,2,3,3,3
90,3,3,3,2,1,3,3,3
91,3,2,3,2,1,3,2,2
92,2,2,2,2,2,3,3,2
93,2,2,2,1,2,3,3,2
94,1,2,3,1,2,2,3,2
95,1,3,3,2,2,3,2,3
96,2,3,3,3,3,4,2,3
97,2,3,3,3,2,4,2,3
98,2,2,4,3,1,3,2,2
99,2,2,3,3,1,3,1,2
100,2,2,3,3,2,3,1,2
101,2,3,2,3,1,3,2,3
102,3,2,3,2,1,2,2,2
103,2,3,3,3,1,3,2,3
104,3,3,3,3,2,3,2,3
